code,name,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,total,"Agriculture, forestry and fishing",Mining,Manufacturing,"Electricity, gas, water and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal and warehousing",Information media and telecommunications,Finance and insurance services,"Rental, hiring and real estate services","Professional, scientific and technical services",Administrative and support services,Public administration and safety,Education and training,Health care and social assistance,Arts and recreation services,Other services,median_income_per_job
SA2,SA2 NAME,Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Number of jobs ('000),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($),Median employee income per job ($)
103021066,Grenfell,0.4,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.1,0.2,0.2,0.1,0,0,1.9,"6,352","94,053","37,242","23,682","20,000","29,050","13,185","6,311","29,250","15,659","20,060","16,816","37,037","10,874","42,004","39,042","26,042","12,458","16,963","19,978"
103021067,Parkes (NSW),0.3,0.5,0.3,0.1,0.4,0.2,0.8,0.7,0.4,0,0.2,0.1,0.3,0.6,0.6,0.6,0.6,0,0.3,7.2,"4,650","91,709","47,260","76,589","37,219","44,718","23,552","5,651","54,114","47,919","28,585","11,522","31,258","16,103","63,143","51,625","34,297","8,821","23,865","32,608"
103021068,Parkes Region,0.4,0.1,0.1,0,0.1,0,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0,0.1,2,"3,289","80,097","28,891","57,067","26,350","35,703","14,548","5,430","35,399","16,616","28,651","13,046","12,703","9,827","34,930","35,073","17,010","12,079","26,506","16,103"
103021069,West Wyalong,0.6,0.3,0.1,0,0.1,0.2,0.2,0.3,0.1,0,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0,0.1,3.6,"5,220","114,346","32,732","84,601","42,343","27,047","20,182","6,893","24,695","36,347","18,479","17,901","35,930","20,474","54,749","42,439","27,284","2,756","21,417","23,027"
103031070,Lithgow,0,0.4,0.4,0.1,0.4,0.3,0.7,0.7,0.2,0,0.3,0.1,0.3,0.4,0.7,0.5,0.7,0,0.2,6.6,"14,036","135,522","51,135","120,619","36,108","54,514","26,358","12,083","59,273","50,575","29,051","47,213","39,644","12,722","63,590","45,463","30,836","5,472","21,600","36,773"
103031071,Lithgow Region,0.1,0.3,0.2,0.1,0.4,0.1,0.4,0.5,0.2,0,0.2,0.1,0.2,0.3,0.5,0.4,0.4,0.1,0.2,5,"14,382","134,966","54,654","113,321","37,913","50,810","21,723","9,715","51,109","43,726","32,954","65,112","37,850","19,936","64,518","39,269","27,471","3,909","24,000","35,025"
103031072,Mudgee,0.2,1,0.5,0,0.7,0.2,0.9,0.9,0.2,0.1,0.2,0.1,0.4,0.7,0.5,0.6,0.8,0.1,0.3,8.7,"4,468","146,085","28,765","75,775","36,179","48,495","23,902","8,132","30,458","12,112","26,615","29,546","35,795","18,912","52,169","48,738","34,500","1,219","30,839","32,465"
103031073,Mudgee Region - East,0.1,0.1,0.1,0,0.1,0,0.2,0.2,0.1,0,0,0,0.1,0.1,0.1,0.2,0.1,0,0,1.7,"6,260","142,846","32,735","69,019","24,680","31,847","23,091","9,496","25,619",814,"24,559","6,222","22,402","21,069","55,186","43,067","33,251","16,379","17,995","25,718"
103031074,Mudgee Region - West,0.7,0.6,0.3,0.1,0.5,0.2,0.6,0.5,0.2,0.1,0.2,0.1,0.3,0.5,0.4,0.4,0.5,0.1,0.2,6.8,"4,018","144,006","29,911","80,341","36,565","36,820","18,152","6,554","27,923","11,044","25,256","9,046","31,352","20,701","44,109","44,751","31,498","5,172","33,171","26,872"
103031075,Wollangambe - Wollemi, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,"79,406"
103041076,Blayney,0.3,0.3,0.3,0,0.3,0.1,0.3,0.3,0.2,0,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0,0.2,4.7,"7,977","99,531","72,599","85,698","32,888","48,484","17,831","8,400","27,874","48,724","16,946","37,293","36,365","17,093","55,436","46,068","28,657","5,840","32,552","33,476"
103041077,Orange,0.4,0.4,0.5,0.1,0.7,0.3,1.4,1.4,0.4,0.1,0.3,0.2,0.5,1,1,1.1,1.5,0.1,0.7,12.9,"3,835","98,560","37,799","71,485","34,351","46,608","18,957","8,772","30,192","40,117","26,875","22,885","33,896","9,340","62,588","45,739","32,089","8,610","32,809","29,388"
103041078,Orange - North,0.3,0.7,0.8,0.1,1,0.4,1.7,1.5,0.6,0.1,0.4,0.3,0.6,1,1.2,1.5,1.9,0.1,0.9,16.2,"6,969","105,784","46,653","81,643","38,805","45,782","21,889","7,811","29,643","47,411","32,176","32,738","40,589","17,859","66,960","47,347","30,995","10,307","33,088","34,845"
103041079,Orange Region,0.8,0.3,0.5,0.1,0.6,0.3,0.6,0.6,0.3,0,0.2,0.1,0.3,0.5,0.6,0.7,0.7,0.1,0.3,8,"6,287","91,359","56,556","81,872","34,900","48,505","16,287","4,856","22,377","30,464","32,443","42,475","40,800","16,123","63,040","42,085","31,922","7,709","32,486","29,754"
104011080,Grafton,0.3,0,0.6,0.1,0.7,0.2,1.3,1.1,0.4,0.1,0.3,0.2,0.4,0.9,1.2,0.8,1.3,0.3,0.3,10.8,"21,456","69,480","39,679","85,007","39,265","27,542","20,990","9,345","47,180","19,369","23,384","23,355","29,136","13,287","57,080","47,010","36,665","1,959","29,455","29,056"
104011081,Grafton Region,0.4,0.1,0.5,0.1,0.7,0.2,0.8,0.8,0.4,0,0.3,0.2,0.3,0.8,0.8,0.7,1,0.2,0.3,8.9,"17,358","79,987","44,800","74,212","33,730","41,669","21,709","10,139","39,596","30,529","19,483","33,042","30,698","13,617","59,885","37,613","34,114","2,800","22,053","28,508"
104011082,Maclean - Yamba - Iluka,0.2,0.1,0.4,0,0.8,0.2,1.1,1.2,0.3,0,0.3,0.2,0.4,0.7,0.6,0.8,1,0.1,0.3,9.1,"11,097","84,531","50,550","70,477","33,636","19,296","15,093","10,361","32,073","21,546","15,646","26,630","32,312","13,092","54,125","39,011","32,860","6,788","21,736","24,618"
104021083,Bellingen,0.1,0,0.2,0,0.1,0.1,0.3,0.4,0.1,0,0.1,0,0.2,0.3,0.2,0.5,0.4,0.1,0.2,3.6,"8,740","55,349","29,044","74,426","33,002","44,136","14,068","6,980","27,000","35,504","18,024","33,635","36,443","11,691","49,445","33,207","28,462","6,386","18,932","23,472"
104021084,Coffs Harbour - North,0.5,0.1,0.4,0.1,0.8,0.3,1.3,1.7,0.3,0.1,0.4,0.2,0.5,1,0.8,0.9,1.6,0.2,0.5,12,"6,522","80,825","31,357","76,966","35,236","35,770","22,687","9,125","33,761","42,446","21,352","30,195","28,989","14,752","49,381","41,929","31,607","2,572","22,754","23,631"
104021085,Coffs Harbour - South,0.4,0,0.2,0,0.5,0.2,0.8,0.9,0.2,0,0.2,0.1,0.3,0.6,0.4,0.5,0.9,0.1,0.3,7,"4,857","73,265","24,398","63,554","29,078","21,491","22,859","8,226","29,669","38,261","16,220","30,285","30,534","12,212","52,901","37,624","33,297","4,544","24,014","22,973"
104021086,Coramba - Nana Glen - Bucca,0.1,0,0.1,0,0.3,0.1,0.3,0.2,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0,0.1,2.7,"4,963","57,762","36,827","59,810","33,158","41,031","20,465","10,599","58,004","63,843","22,674","33,143","37,274","18,481","60,392","36,229","36,560","11,030","28,240","28,635"
104021087,Dorrigo,0.2,0,0.1,0,0.1,0.1,0.1,0.2,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,1.5,"16,466","86,807","23,747","92,828","19,070","40,256","16,493","6,981","29,085","65,918","28,941","21,598","24,899","15,927","37,587","32,592","30,416","2,244","24,301","22,757"
104021088,Korora - Emerald Beach,0.3,0,0.2,0.1,0.6,0.2,0.7,0.8,0.2,0,0.3,0.1,0.4,0.5,0.5,0.7,0.8,0.1,0.2,7.2,"4,125","94,616","35,590","86,424","39,588","34,675","18,476","7,540","40,128","41,656","25,791","30,922","36,999","13,762","62,607","42,299","33,871","5,557","22,378","27,004"
104021089,Sawtell - Boambee,0.2,0.1,0.5,0.1,1.1,0.4,1.5,1.6,0.4,0.1,0.5,0.2,0.5,0.9,0.8,1.2,1.6,0.2,0.5,13,"13,142","89,140","39,377","68,271","32,846","41,321","20,000","9,006","38,577","37,000","21,350","26,535","33,706","17,037","53,804","40,810","32,629","4,730","27,493","27,723"
104021090,Urunga,0.1,0,0.2,0,0.2,0.1,0.2,0.3,0.1,0,0.1,0,0.1,0.2,0.2,0.4,0.4,0,0.1,2.8,"17,738","70,496","41,305","62,296","34,690","39,133","19,586","10,302","28,807","50,185","15,456","47,322","35,392","12,842","49,569","40,981","32,731","5,458","19,797","26,318"
104021091,Woolgoolga - Arrawarra,2.1,0.1,0.3,0,0.8,0.4,0.8,1.1,0.3,0,0.3,0.2,0.4,1.2,0.6,0.7,1,0.1,0.4,11.1,"8,327","63,320","27,342","76,906","33,754","17,895","18,960","6,909","21,855","60,732","19,493","16,658","25,148","4,902","54,127","41,127","29,823","5,431","8,763","16,043"
105011092,Bourke - Brewarrina,0.2,0,0,0,0.1,0,0.2,0.1,0,0,0.1,0,0,0.1,0.4,0.3,0.3,0,0.2,2.4,"7,445","32,973","23,773","90,069","17,134","29,356","14,559","11,203","14,869","46,061","22,256","6,982","47,047","11,570","63,127","53,592","37,539","5,004","18,379","28,800"
105011093,Cobar,0.1,0.7,0.1,0,0.2,0.1,0.3,0.3,0.1,0,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0,0.1,3.1,"4,878","95,567","37,073","76,659","27,923","28,572","13,753","6,524","24,292","13,949","23,880","15,790","25,291","15,290","43,958","55,127","22,344","3,496","30,466","31,253"
105011094,Coonamble,0.4,0,0,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0.1,0.2,0.3,0.2,0,0.1,2.3,"8,185","83,524","30,938","79,434","24,053","44,243","13,162","7,387","20,014","30,527","26,462","31,278","24,526","7,146","56,975","48,060","29,527",465,"7,754","19,916"
105011095,Nyngan - Warren,0.7,0.2,0,0,0.2,0.1,0.3,0.2,0.1,0,0.1,0,0.1,0.2,0.3,0.3,0.2,0,0.1,3.2,"9,457","92,532","15,232","83,137","29,301","53,265","14,970","9,397","25,748","48,222","26,164","30,301","18,442","10,011","50,539","49,280","28,017",351,"29,487","25,125"
105011096,Walgett - Lightning Ridge,0.4,0.1,0.1,0,0.1,0.1,0.2,0.3,0.1,0,0.1,0,0.1,0.2,0.3,0.4,0.2,0,0.1,3.1,"9,003","34,027","29,300","70,625","19,851","28,920","21,142","8,464","10,228","15,474","26,693","8,678","20,075","14,005","51,612","47,539","33,946","10,303","16,439","22,288"
105021097,Broken Hill,0.3,0.9,0.2,0.1,0.8,0.2,1.2,1.3,0.3,0.1,0.3,0.1,0.3,0.4,0.8,0.8,1.3,0,0.5,10.4,"8,664","111,794","36,931","96,446","42,494","53,505","23,457","9,054","32,594","39,098","16,684","38,665","24,949","17,923","66,504","57,246","40,874","4,827","25,435","37,050"
105021098,Far West,0.2,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1, np ,0.1,1,"13,125","98,429","33,708","86,933","18,278","10,400","9,893","10,890","17,155","2,470","33,610","8,747","11,579","11,513","37,722","52,618","23,271",np,"17,931","20,461"
105031099,Coonabarabran,0.7,0,0.1,0,0.2,0.1,0.4,0.3,0.1,0,0.1,0,0.1,0.2,0.5,0.5,0.3,0,0.1,4.1,"6,817","91,167","27,545","66,288","19,456","32,890","15,976","6,730","31,725","52,960","12,182","29,360","22,108","17,047","50,502","37,657","31,307","1,920","22,150","21,792"
105031100,Dubbo - East,0.2,0.1,0.6,0.1,0.6,0.3,0.9,0.8,0.3,0,0.2,0.1,0.3,0.6,0.7,0.6,1,0.1,0.3,8.1,"5,634","69,341","33,592","87,080","37,912","43,055","21,874","7,260","44,249","41,285","37,657","13,178","35,380","13,416","54,370","48,018","32,163","6,205","33,986","29,476"
105031101,Dubbo - South,0.3,0.2,0.8,0.1,0.9,0.5,1.7,1.6,0.4,0.1,0.4,0.2,0.6,0.9,1.5,1.3,1.9,0.1,0.5,14.7,"6,808","74,107","42,498","86,285","36,515","45,911","18,656","7,009","34,282","30,189","35,378","30,051","38,561","14,262","54,947","48,222","36,999","5,781","32,403","30,390"
105031102,Dubbo - West,0.2,0.1,0.4,0.1,0.5,0.3,0.8,0.7,0.2,0,0.2,0.1,0.3,0.5,0.7,0.6,0.9,0.1,0.2,7.1,"7,398","70,591","48,146","76,385","36,296","47,104","21,377","7,924","39,111","57,945","33,049","29,544","30,784","10,297","54,622","47,415","37,403","7,326","36,465","30,398"
105031103,Dubbo Region,0.3,0.1,0.2,0,0.3,0.2,0.4,0.3,0.2,0,0.1,0.1,0.2,0.2,0.4,0.4,0.4,0.1,0.1,4.1,"9,003","86,565","49,309","87,001","35,452","34,600","19,728","6,132","41,694","24,206","29,518","39,363","30,505","17,473","67,438","43,932","34,583","4,753","33,495","30,492"
105031104,Gilgandra,0.4,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0,0,0,0.1,0.1,0.2,0.2,0.3,0,0.1,2.5,"3,669","98,633","39,572","99,183","25,860","30,631","19,027","10,632","32,064","48,046","25,093","22,621","27,798","6,208","49,471","44,185","36,038","18,029","15,625","22,008"
105031105,Narromine,0.6,0.1,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0,0.1,0,0.2,0.3,0.3,0.4,0.3,0.1,0.1,4.1,"14,976","73,461","23,435","55,451","36,692","28,988","19,911","5,091","31,501","28,328","22,390","22,923","35,017","9,874","43,145","41,650","29,674","2,800","18,885","25,220"
105031106,Wellington,0.7,0,0.2,0,0.3,0.1,0.4,0.5,0.2,0,0.1,0.1,0.2,0.3,0.5,0.4,0.6,0.1,0.1,5.1,"4,955","87,373","38,693","82,989","22,230","29,762","20,994","5,952","27,177","16,376","17,180","16,329","27,516","10,291","68,017","46,494","29,263","1,810","24,176","20,946"
106011107,Branxton - Greta - Pokolbin,0.2,0.7,0.7,0.1,0.7,0.3,0.6,1,0.3,0,0.3,0.2,0.5,0.9,0.4,0.5,0.7,0.1,0.4,9.1,"16,905","145,949","45,351","99,074","48,125","53,025","21,091","7,269","51,771","25,184","35,167","40,329","40,973","24,087","53,869","46,890","29,879","6,562","27,129","34,372"
106011108,Cessnock,0.2,0.7,1,0.1,0.9,0.4,1.3,1.7,0.5,0,0.4,0.3,0.5,1.5,0.7,0.6,1.5,0.1,0.5,13.4,"9,454","132,792","44,158","91,489","36,865","36,895","25,162","10,122","34,892","9,024","24,800","31,873","33,007","14,247","64,348","43,633","36,213","7,310","23,588","30,467"
106011109,Cessnock Region,0.1,0.3,0.4,0.1,0.5,0.2,0.4,0.5,0.2,0,0.2,0.1,0.3,0.5,0.3,0.4,0.6,0.1,0.2,5.7,"11,508","140,108","53,108","100,172","40,772","45,536","20,598","9,319","44,080","35,216","32,670","26,822","39,004","17,929","57,438","40,807","31,733","6,261","36,168","33,365"
106011110,Dungog,0.2,0.2,0.3,0.1,0.5,0.2,0.5,0.4,0.3,0,0.2,0.1,0.3,0.4,0.4,0.4,0.7,0.1,0.2,5.8,"18,982","134,006","64,876","95,693","46,059","55,784","19,517","5,411","51,449","37,000","29,007","29,677","43,405","20,800","54,810","42,764","31,407","14,607","36,095","34,106"
106011111,Kurri Kurri - Abermain,0.1,0.5,1,0.1,1.1,0.5,1.4,1.2,0.6,0,0.4,0.3,0.5,1.4,0.6,0.6,1.6,0.1,0.5,12.9,"21,645","128,158","56,181","90,964","41,679","50,669","24,337","8,984","35,241","28,222","29,966","38,600","39,364","19,007","49,638","40,077","33,786","7,418","30,765","33,436"
106011112,Singleton,0.2,1.5,0.8,0.2,0.9,0.5,1.1,1.3,0.3,0,0.3,0.2,0.5,1.4,0.6,0.7,0.7,0.1,0.6,12.2,"14,740","145,026","41,320","123,841","55,017","59,645","20,813","5,786","37,454","9,243","26,178","47,101","44,650","24,912","60,375","36,663","30,326","9,080","29,897","37,130"
106011113,Singleton Region,0.2,0.5,0.2,0.1,0.3,0.1,0.2,0.3,0.1,0,0.1,0.1,0.2,0.4,0.1,0.2,0.2,0,0.2,3.5,"18,133","146,150","45,940","112,335","50,733","61,443","18,593","4,103","54,142","15,474","31,456","39,257","35,435","28,788","45,463","37,235","26,972","10,437","24,678","37,551"
106021114,Maitland,0,0.2,0.4,0,0.5,0.2,0.6,0.5,0.2,0,0.2,0.1,0.3,0.6,0.3,0.3,0.7,0.1,0.2,5.9,"13,404","128,849","58,955","85,889","41,958","44,980","23,520","7,137","55,279","15,184","26,652","29,132","48,386","18,017","59,594","44,287","31,512","8,638","25,103","33,480"
106021115,Maitland - East,0.1,0.6,1.3,0.2,1.4,0.7,2.1,1.8,0.7,0.1,0.7,0.3,1.1,1.9,1.3,1.6,2.5,0.2,0.7,20.1,"11,526","138,243","61,845","98,322","40,085","53,769","22,031","7,758","52,305","29,254","38,204","41,170","45,000","19,236","66,712","43,043","31,970","8,434","31,908","34,883"
106021116,Maitland - North,0.1,0.3,0.3,0.1,0.5,0.2,0.6,0.5,0.2,0,0.2,0.1,0.4,0.4,0.4,0.7,0.6,0.1,0.2,6,"24,040","142,694","59,944","124,500","50,691","52,740","17,466","6,464","59,298","21,088","32,878","52,387","56,142","21,387","65,511","46,994","30,258","8,749","31,725","38,620"
106021117,Maitland - West,0.2,0.8,1.2,0.2,1.3,0.6,1.9,1.7,0.6,0.1,0.6,0.3,0.8,1.9,0.9,0.9,2.1,0.2,0.7,17.3,"14,322","142,512","57,391","96,487","45,686","56,239","23,487","7,431","47,742","21,429","31,341","41,832","44,213","17,770","53,500","37,838","30,973","9,125","32,385","33,535"
106021118,Thornton - Millers Forest,0.1,0.3,0.8,0.1,0.7,0.3,0.9,0.8,0.5,0.1,0.4,0.2,0.6,1,0.9,0.6,1.2,0.1,0.4,10.2,"10,736","129,061","64,218","104,243","44,915","54,855","27,987","7,384","58,181","46,870","38,959","43,844","42,972","18,416","74,033","43,015","30,504","8,055","31,455","37,902"
106031119,Anna Bay,0,0.1,0.2,0,0.4,0.1,0.5,0.5,0.2,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.1,0.1,4,"15,274","109,100","63,759","86,378","33,099","45,404","14,418","8,969","38,887","46,461","37,446","31,361","49,465","17,661","69,676","40,401","27,491","7,997","19,746","26,639"
106031120,Lemon Tree Passage - Tanilba Bay,0.1,0,0.3,0,0.3,0.1,0.4,0.4,0.2,0,0.2,0.1,0.2,0.3,0.3,0.2,0.5,0,0.1,3.7,"18,206","93,107","55,117","66,273","43,871","46,884","20,048","9,120","40,872","4,019","26,189","37,177","32,569","20,144","62,487","37,462","32,760","9,904","26,216","30,649"
106031121,Nelson Bay Peninsula,0.1,0.1,0.5,0.1,0.8,0.3,1.4,2.2,0.5,0.1,0.6,0.4,0.7,0.8,1,0.9,1.4,0.2,0.4,12.7,"8,642","112,198","62,878","94,592","35,338","50,280","17,375","11,888","41,376","37,097","19,167","27,721","36,836","16,988","71,476","36,331","31,210","5,840","18,074","27,077"
106031122,Raymond Terrace,0.1,0.1,0.7,0.1,0.7,0.3,0.9,1,0.5,0,0.3,0.2,0.3,1,0.7,0.5,1.1,0.1,0.3,9,"14,815","92,463","59,439","68,377","37,333","52,016","25,224","7,020","46,143","29,683","28,125","38,744","44,618","15,268","59,432","35,572","29,794","14,347","29,144","30,211"
106031123,Seaham - Woodville,0.1,0.1,0.3,0,0.4,0.1,0.4,0.3,0.2,0,0.1,0.1,0.3,0.3,0.3,0.3,0.5,0,0.2,4.2,"15,776","121,834","76,722","80,453","46,900","52,528","17,424","7,462","56,667","32,518","29,055","54,146","44,602","19,875","68,555","37,436","36,262","4,910","29,053","36,395"
106031124,Tea Gardens - Hawks Nest,0,0,0.1,0,0.2,0.1,0.2,0.3,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.4,0,0,2.3,"8,579","108,974","54,340","89,361","41,837","28,645","17,064","8,701","30,885","37,138","12,255","21,449","31,950","20,528","38,344","41,174","34,297","10,889","30,297","25,768"
106031125,Williamtown - Medowie - Karuah,0.1,0.1,0.7,0.1,0.8,0.3,0.9,0.9,0.5,0,0.3,0.2,0.5,0.7,1.1,0.6,1,0.1,0.3,9.5,"21,815","88,780","68,366","78,000","42,761","47,471","22,827","7,780","57,416","25,458","34,987","35,190","49,358","16,409","74,397","41,087","31,015","10,732","30,456","36,174"
106041126,Muswellbrook,0.2,0.8,0.3,0.2,0.7,0.3,0.9,0.8,0.3,0,0.2,0.1,0.5,1.4,0.4,0.4,0.5,0.1,0.4,8.8,"22,414","147,346","43,078","122,885","46,323","62,806","20,361","6,249","34,825","26,012","24,233","28,578","34,067","23,880","39,856","43,815","28,830","3,987","24,749","33,836"
106041127,Muswellbrook Region,0.2,0.3,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.4,0.1,0.2,0.1,0,0.1,2.8,"26,546","147,611","65,130","122,740","40,073","69,199","15,215","9,359","51,808",575,"24,888","28,524","34,176","26,125","46,460","31,927","17,687","6,960","32,821","36,243"
106041128,Scone,0.4,0.3,0.4,0,0.3,0.1,0.4,0.3,0.2,0,0.1,0.1,0.3,0.5,0.3,0.3,0.3,0.2,0.2,4.7,"30,455","149,625","26,890","117,103","41,439","54,681","19,152","4,988","31,464","76,368","20,042","35,197","40,470","21,626","48,100","46,346","30,000","8,086","26,698","30,209"
106041129,Scone Region,0.9,0.4,0.2,0.1,0.4,0.1,0.4,0.4,0.2,0,0.2,0.1,0.3,0.5,0.3,0.4,0.3,0.1,0.1,5.5,"24,320","147,626","40,398","100,728","39,990","34,019","17,490","6,759","33,054","34,858","26,890","30,777","32,313","23,766","34,659","34,753","31,774","6,766","26,342","29,800"
107011131,Dapto - Avondale,0,0.2,0.9,0.2,1.3,0.5,1.6,1.3,0.8,0.1,0.7,0.2,0.7,1.2,1,1.1,2,0.2,0.6,15.1,"18,884","123,815","71,961","83,544","46,236","56,148","27,278","10,935","62,337","56,715","33,013","33,669","40,766","20,999","50,609","43,964","35,130","6,419","32,551","36,865"
107011132,Horsley - Kembla Grange,0,0.1,0.4,0.1,0.6,0.2,0.8,0.7,0.3,0.1,0.4,0.1,0.4,0.5,0.6,0.7,0.9,0.1,0.3,7.8,"20,526","132,396","86,833","98,354","54,056","66,893","24,057","9,032","68,826","56,471","48,136","43,288","49,240","19,031","60,726","45,435","38,205","4,219","36,503","41,208"
107011133,Port Kembla Industrial, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,"3,503"
107011134,Unanderra - Mount Kembla,0,0.1,0.7,0.1,0.8,0.3,1,0.8,0.4,0.1,0.5,0.1,0.6,0.8,0.7,1.2,1.2,0.2,0.3,10.4,"11,837","126,611","85,091","95,364","50,457","59,278","20,946","8,027","63,861","31,608","45,877","47,410","51,894","18,235","53,507","43,724","34,149","5,712","28,219","38,129"
107011545,Berkeley - Lake Heights - Cringila,0,0.1,0.5,0.1,0.7,0.2,0.9,0.7,0.4,0.1,0.4,0.1,0.4,0.8,0.5,0.5,1,0.1,0.3,8,"15,918","94,027","66,538","75,499","46,059","52,586","26,955","9,540","58,208","22,205","26,387","28,114","45,674","15,738","38,280","35,210","32,073","8,350","27,652","32,334"
107011546,Port Kembla - Warrawong,0,0,0.3,0,0.4,0.2,0.6,0.5,0.2,0,0.2,0.1,0.3,0.6,0.4,0.4,0.6,0.1,0.2,5.3,"25,588","111,497","62,064","78,450","39,929","42,243","25,674","11,422","56,674","49,003","29,796","32,791","50,299","16,535","48,100","42,230","28,259","11,351","29,826","32,891"
107011547,Windang - Primbee,0,0,0.1,0,0.2,0.1,0.2,0.2,0.1,0,0.1,0,0.1,0.2,0.2,0.2,0.2,0,0.1,2.4,"10,479","122,870","71,492","88,661","48,431","50,751","24,174","10,488","65,028","13,033","28,843","26,460","42,084","19,736","57,979","48,001","39,615","11,609","24,811","36,224"
107021135,Illawarra Catchment Reserve, np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np , np ,0,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,"83,340"
107031136,Albion Park - Macquarie Pass,0,0.2,0.7,0.1,1.1,0.4,1.4,1,0.6,0.1,0.6,0.2,0.5,0.9,0.9,1,1.5,0.2,0.4,12.5,"22,509","124,688","84,973","87,447","51,743","53,686","26,165","8,603","64,246","43,266","37,553","39,284","44,257","20,785","62,350","41,361","34,565","7,041","33,013","39,364"
107031137,Albion Park Rail,0,0,0.3,0,0.4,0.1,0.5,0.4,0.2,0,0.2,0.1,0.2,0.4,0.3,0.3,0.7,0.1,0.2,4.5,"24,301","111,897","64,434","69,685","47,488","57,486","26,760","13,298","56,014","50,811","34,089","31,659","33,585","17,376","53,338","36,847","32,783","6,268","32,625","34,792"
107031138,Kiama,0,0,0.2,0,0.4,0.1,0.4,0.5,0.2,0,0.2,0.1,0.3,0.3,0.5,0.6,0.6,0.1,0.1,5.1,"17,584","107,967","65,143","80,823","43,655","62,059","16,081","9,367","53,236","50,534","27,056","37,514","47,092","18,175","62,103","40,323","29,235","4,727","29,864","32,140"
107031139,Kiama Downs - Minnamurra,0,0,0.2,0,0.3,0.1,0.3,0.4,0.1,0,0.2,0.1,0.2,0.2,0.4,0.5,0.4,0,0.1,4,"13,950","129,248","79,651","82,892","43,821","61,365","13,640","9,986","64,313","37,000","36,053","25,486","45,816","17,685","65,868","51,045","35,054","12,283","27,536","36,600"
107031140,Kiama Hinterland - Gerringong,0.1,0,0.2,0,0.5,0.1,0.4,0.6,0.1,0.1,0.2,0.1,0.4,0.3,0.5,0.7,0.4,0.1,0.1,5.2,"16,203","135,807","66,573","85,487","37,967","50,106","14,778","6,408","54,488","22,884","33,912","37,884","40,000","18,664","68,497","45,600","39,454","16,487","20,768","31,128"
107031141,Shellharbour - Flinders,0,0.2,0.8,0.1,1.1,0.4,1.4,1.1,0.5,0.1,0.6,0.2,0.7,0.9,1,1.2,1.4,0.2,0.4,13.1,"12,584","129,867","95,669","100,459","45,723","67,001","19,011","9,403","68,465","50,115","39,809","33,773","49,515","19,101","63,820","46,096","33,839","9,259","31,043","37,538"
107031142,Shellharbour - Oak Flats,0,0.1,0.4,0.1,0.6,0.2,0.8,0.6,0.3,0,0.3,0.1,0.3,0.5,0.5,0.6,0.8,0.1,0.2,6.8,"11,576","114,606","76,139","77,518","42,198","52,169","21,750","10,591","63,365","29,037","36,533","32,849","47,389","18,976","51,924","40,715","34,768","9,565","29,427","35,396"
